accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,repeat,split,n_train,n_test,mpca_explained,mpca_recon_err_test,mpca_fit_sec
0.5227272727272727,0.5227272727272727,0.5018867924528302,0.5018867924528302,0.045454545454545414,0.4772727272727273,Tucker+MLP,0,0,0,173,44,0.38004990766572616,0.44214157178600716,5.440938949584961
0.5454545454545454,0.5454545454545454,0.5445134575569358,0.5445134575569358,0.09090909090909094,0.53099173553719,Tucker+MLP,1,0,1,173,44,0.38508903698156244,0.4396816025718885,7.230988264083862
0.5116279069767442,0.512987012987013,0.5105691056910568,0.5100397050482133,0.02588996763754048,0.5649350649350648,Tucker+MLP,2,0,2,174,43,0.38715966218940495,0.44190408184122276,6.963289499282837
0.4883720930232558,0.49891774891774887,0.364247311827957,0.3577144286071518,-0.0021186440677964935,0.6103896103896104,Tucker+MLP,3,0,3,174,43,0.3804089535158152,0.4485957825427106,6.5487542152404785
0.5813953488372093,0.5800865800865801,0.5793478260869566,0.5800303336703742,0.16052060737527107,0.6255411255411255,Tucker+MLP,4,0,4,174,43,0.37744872520811973,0.4390099328637742,5.280383348464966
0.5227272727272727,0.5227272727272727,0.5164835164835164,0.5164835164835165,0.045454545454545414,0.5950413223140496,Tucker+MLP,5,1,0,173,44,0.38379272441082973,0.44049739600004095,4.836545705795288
0.4772727272727273,0.47727272727272724,0.4544474393530997,0.4544474393530997,-0.045454545454545414,0.45247933884297525,Tucker+MLP,6,1,1,173,44,0.38368110082250856,0.4435013419977171,4.856070280075073
0.5813953488372093,0.5800865800865801,0.5793478260869566,0.5800303336703742,0.16052060737527107,0.5346320346320346,Tucker+MLP,7,1,2,174,43,0.37935004753659757,0.4386218398335874,4.996790409088135
0.4418604651162791,0.44805194805194803,0.4027777777777778,0.39922480620155043,-0.10256410256410242,0.44805194805194803,Tucker+MLP,8,1,3,174,43,0.38428991241851906,0.4435847729302937,4.957517862319946
0.5348837209302325,0.5357142857142857,0.5346320346320346,0.5343803483338367,0.07127429805615548,0.5324675324675324,Tucker+MLP,9,1,4,174,43,0.37925859266999534,0.4450208480317699,4.956944704055786
0.5227272727272727,0.5227272727272727,0.38193979933110367,0.3819397993311037,0.045454545454545414,0.6425619834710744,Tucker+MLP,10,2,0,173,44,0.3833919598352436,0.4478468700934423,4.7731921672821045
0.6818181818181818,0.6818181818181819,0.681159420289855,0.6811594202898551,0.36363636363636365,0.6487603305785123,Tucker+MLP,11,2,1,173,44,0.37766656172237306,0.4380459588249301,4.766285419464111
0.6046511627906976,0.604978354978355,0.6046511627906976,0.6046511627906976,0.2097297297297298,0.5995670995670994,Tucker+MLP,12,2,2,174,43,0.3831802722132805,0.4426334547166337,4.867456436157227
0.5581395348837209,0.5551948051948051,0.5493656922228352,0.5508279993329828,0.11099020674646354,0.5757575757575757,Tucker+MLP,13,2,3,174,43,0.38142795870939655,0.45109233121844666,4.997060775756836
0.5813953488372093,0.5757575757575758,0.5520833333333333,0.5547480620155039,0.15317286652078765,0.5714285714285714,Tucker+MLP,14,2,4,174,43,0.3844842972200843,0.43189501806999203,5.443278551101685
0.5681818181818182,0.5681818181818181,0.5679586563307493,0.5679586563307493,0.13636363636363635,0.5537190082644627,Tucker+LogReg,0,0,0,173,44,,,
0.6136363636363636,0.6136363636363636,0.6036036036036037,0.6036036036036037,0.2272727272727273,0.5640495867768596,Tucker+LogReg,1,0,1,173,44,,,
0.6046511627906976,0.606060606060606,0.6037940379403794,0.6033654755152202,0.21143473570658045,0.5995670995670995,Tucker+LogReg,2,0,2,174,43,,,
0.627906976744186,0.6309523809523809,0.6228070175438596,0.6217870257037944,0.2602150537634408,0.6385281385281385,Tucker+LogReg,3,0,3,174,43,,,
0.6744186046511628,0.6742424242424242,0.6742424242424242,0.6744186046511628,0.3484848484848485,0.658008658008658,Tucker+LogReg,4,0,4,174,43,,,
0.5909090909090909,0.5909090909090908,0.5900621118012422,0.5900621118012422,0.18181818181818177,0.6694214876033058,Tucker+LogReg,5,1,0,173,44,,,
0.5909090909090909,0.5909090909090909,0.5769230769230769,0.576923076923077,0.18181818181818177,0.5991735537190083,Tucker+LogReg,6,1,1,173,44,,,
0.6511627906976745,0.6493506493506493,0.6481178396072014,0.6488790773798196,0.2996742671009772,0.6428571428571428,Tucker+LogReg,7,1,2,174,43,,,
0.627906976744186,0.6277056277056277,0.6277056277056277,0.627906976744186,0.2554112554112554,0.6515151515151515,Tucker+LogReg,8,1,3,174,43,,,
0.5116279069767442,0.5140692640692641,0.5073649754500819,0.5062992425684163,0.027987082884822434,0.5238095238095237,Tucker+LogReg,9,1,4,174,43,,,
0.6136363636363636,0.6136363636363636,0.6134366925064599,0.6134366925064599,0.2272727272727273,0.6570247933884297,Tucker+LogReg,10,2,0,173,44,,,
0.6590909090909091,0.6590909090909091,0.6589147286821706,0.6589147286821706,0.31818181818181823,0.6157024793388429,Tucker+LogReg,11,2,1,173,44,,,
0.6046511627906976,0.606060606060606,0.6037940379403794,0.6033654755152202,0.21143473570658045,0.5930735930735931,Tucker+LogReg,12,2,2,174,43,,,
0.5348837209302325,0.5357142857142857,0.5346320346320346,0.5343803483338367,0.07127429805615548,0.487012987012987,Tucker+LogReg,13,2,3,174,43,,,
0.627906976744186,0.6244588744588744,0.6177777777777778,0.6192248062015504,0.2505446623093681,0.6818181818181818,Tucker+LogReg,14,2,4,174,43,,,
0.5227272727272727,0.5227272727272727,0.5204981837052414,0.5204981837052413,0.045454545454545414,0.493801652892562,PCA+MLP,0,0,0,173,44,,,
